N; Data type; Avg slope; Avg Negatives; Avg Positives; StdDe Time; Mean Time; Cov Time 
1000000; INT16; 0,065534; 0,000000; 0,000000; 0,015578; 0,088282; 17,645474
1000000; INT32; 4294,963084; 0,000000; 0,000000; 0,001749; 0,104234; 1,677623
1000000; INT64; -38211283,555221; 0,000000; 0,000000; 0,001202; 0,105068; 1,143559
1000000; INT8; 0,000254; 0,000000; 0,000000; 0,016673; 0,043547; 38,286817
10000000; INT8; 0,000025; 0,000000; 0,000000; 0,018854; 0,389620; 4,838994
10000000; INT16; 0,006553; 0,000000; 0,000000; 0,020620; 0,804763; 2,562192
10000000; INT32; 429,496676; 0,000000; 0,000000; 0,043080; 1,234059; 3,490950
10000000; INT64; -368796,510889; 0,000000; 0,000000; 0,063241; 1,226891; 5,154596
100000000; INT8; 0,000003; 0,000000; 0,000000; 0,136744; 3,723552; 3,672413
100000000; INT16; 0,000655; 0,000000; 0,000000; 0,170085; 7,883355; 2,157525
100000000; INT32; 42,949673; 0,000000; 0,000000; 0,417249; 13,945274; 2,992045
100000000; INT64; -3542,842513; 0,000000; 0,000000; 0,288524; 13,905834; 2,074844
1000; INT64; -47448525738779,015625; 0,000000; 0,000000; 0,000001; 0,000053; 2,002986
1000; INT8; 0,254254; 0,000000; 0,000000; 0,000001; 0,000046; 2,587063
1000; INT16; 65,458458; 0,000000; 0,000000; 0,000001; 0,000053; 2,478296
1000; INT32; 4289371,571371; 0,000000; 0,000000; 0,000001; 0,000053; 1,900864
10000; INT16; 6,553235; 0,000000; 0,000000; 0,000062; 0,000713; 8,711073
10000; INT32; 429456,857046; 0,000000; 0,000000; 0,000030; 0,000700; 4,246644
10000; INT64; -431972790960,184448; 0,000000; 0,000000; 0,000010; 0,000687; 1,472599
10000; INT8; 0,025403; 0,000000; 0,000000; 0,000006; 0,000390; 1,520574
100000; INT16; 0,655347; 0,000000; 0,000000; 0,000062; 0,008276; 0,747132
100000; INT32; 42949,380504; 0,000000; 0,000000; 0,000056; 0,008516; 0,654636
100000; INT64; -4217055085,157504; 0,000000; 0,000000; 0,000049; 0,008541; 0,578179
100000; INT8; 0,002540; 0,000000; 0,000000; 0,000100; 0,003829; 2,605390
