N, Data type, Avg timing, Avg slope, Avg Negatives, Avg Positives
1000, INT16, 0.000013, 5645.707107, 49.670000, 50.330000
1000, INT32, 0.000012, 363735027.858058, 50.510000, 49.490000
1000, INT64, 0.000016, 582889613574598.500000, 50.430000, 49.570000
1000, INT8, 0.000014, 21.490691, 49.200000, 50.800000
10000, INT8, 0.000108, 20.593259, 50.394000, 49.606000
10000, INT16, 0.000063, 5434.073707, 49.807000, 50.193000
10000, INT32, 0.000047, 361029890.987099, 49.875000, 50.125000
10000, INT64, 0.000053, 91011085711496.890625, 50.059000, 49.941000
100000, INT8, 0.000408, 20.269161, 50.060600, 49.939400
100000, INT16, 0.000400, 5459.243082, 49.947100, 50.052900
100000, INT32, 0.000436, 356974743.263683, 49.992700, 50.007300
100000, INT64, 0.000413, 17592152341406.978516, 50.030100, 49.969900
